ID,comments,rating,votes
2752318621,和李焕英同期上线真的是让这边尴尬，同种同文，但两岸差的30年，都在这两部电影里了。电影本是一个精巧的容器，可以装下更深沉的东西，我们不该只用来装一个小品。,5,1406
2725963871,葬礼上佛家和道家同时登场，似乎从来没有人这样拍过，这恰恰是两个女人的命运写照，蔡女士是佛家，讲缘；林女士是道家，无为而守；而三个女儿“无法代替父亲向母亲道歉”，是儒家的中庸，一部电影呈现了台湾丰富的文化层次。最感动的是最后一程林女士让蔡女士去送前夫，这是对“缘”的一种顿悟，心结也因此打开。,4,1651
2725961280,私人以为，称这部电影是当代的《饮食男女》一点不为过。伴随着温文尔雅的气质，娓娓道来的是一个女人一生保守的一道“孤味”。片尾鱼缸里的三条锦鲤顺水而游，印证了爸、妈和蔡阿姨的和解，也蕴含着三个女儿始终相随的爱意；最终那封被烧去天国的离婚书，是母亲能为这个大家庭送上的最后的、也是最伟大的温柔。在如此喧嚣浮躁的华语影坛，能有这般爱意满满的文艺佳作，也许是疫情肆虐的年份里，影迷能收到的最好的礼物。,4,545
2564756403,啊…太舒服了，丝毫看不出是新导演的作品，台湾导演对这种家庭题材以及笑中带泪的调度简直是信手拈来，至少是彻底治愈了最近很郁闷的我。陈淑芳和谢盈萱自然、真诚、内敛精准的演出就算在加入内地电影的金马奖也肯定是具竞争力的，徐若瑄和丁宁受角色限制但也都可圈可点。我要再看一次。,4,345
2754179287,看完后，百般滋味在心头。电影最后，感觉女人们都原谅了男人。男人作为丈夫、父亲、情人，曾经带给了她们一些美好的回忆，但伤害不也是真实的吗？她们不断地从男人的行为找出一些值得肯定的事情，然后作为原谅的依据，我觉得不妨视为自我疗愈的努力。,4,301
2490985546,演員構成了這部的優良。謝盈萱的表演精準又自然地叫人嘖嘖稱奇，太妙了這個女人，到底怎麼煉成的？最後一段的眼淚和微笑，看完電影三天了還留在我心裡。,4,283
2737383502,看过，但价值观不同，为什么缺少父爱的女儿都非常体谅父亲，认为父亲有苦衷，却不理解含辛茹苦把她们养大的母亲，特别是一直和母亲一起生活继承了餐厅的女儿，难道不应该更理解母亲的心境吗？,3,539
2647556251,好生气 阿嬷好可怜 小女儿好过分 为什么没有人理解阿嬷 ,3,502
2584723530,台湾人在家庭题材的电影把握上好像还是比内地导演要好不少。不算复杂的故事，但是一家人的牵绊、爱，都让我看得又哭又笑。台南的风土人情，居然让我找到一点自己童年的影子。,5,750
2661564971,1.他明明那么渣，妻子和情人却都那么爱他；2.女儿们明明都知道母亲那么苦那么不容易，却都不能体谅她；3.尤其最小的那个女儿，跟父亲相处的时间最短记忆最少，跟母亲相处的时间最多，最能知道母亲的辛苦，却对父亲乃至父亲的姘头有着相当厚的好感，实在令人难解；4.每一个人物、每一组人物关系的塑造，都及其生硬、别扭、虚假，作为一部家庭题材的作品，太失败了；5.影片得益于几个演员都还算有信念感，演得还算投入，才能让影片的口碑维持在一定水准。,2,570
2759902120,真好。娓娓道来，慢慢流淌。关于记恨与宽恕，关于爱的含义。无奈的，无解的都一点点融化。感情不是一纸文书能定义和囊括的，也不是旁人能揣度猜测的，爱那么博大，那么复杂，有时又那么排他，那么单纯，这故事里的爱都是真切的，最终都剔除了道德审判。这是一个动不动就将他人定义为渣男和婚驴的时代，一个对别人浸猪笼，对自己性自由的时代，在这样的背景下，看到这样的故事真令人动容。它让人心恢复褶皱与层次，让爱回到爱，不可定义，留下一些叹息和一些歌。,4,209
